item,word,part_of_speech,pronunciation,meaning
87,association,n.,อะโซซิเอเชิน,สมาคม
88,athletic,adj.,แอธเลทิค,"มีร่างกายแข็งแรง, มีร่างกายเป็นนักกีฬา"
89,attach,v.,อะแททชฺ,"ติดกัน, ทำให้ติดกัน"
90,attempt,n.,อะเทมพฺ,ความพยายาม
91,attend,v.,อะเทนดฺ,"ไปร่วม, เข้าร่วม"
92,attendant,n.,อะเทนเดินทฺ,ผู้เข้าร่วม
93,attention,n.,อะเทนเชิน,ความสนใจ
94,attentive,adj.,อะเทนทิฟ,"เอาอกเอาใจ, เป็นห่วง"
95,attraction,n.,แอทแทรคเชิน,"การดึงดูด, สิ่งดึงดูดใจ"
96,auburn,n.,ออเบิร์น,สีน้ำตาลแดง
97,audition,n.,ออดิเชิน,"การทดสอบการแสดง, การได้ยิน"
98,augmentation,n.,ออกเมนเทเชิน,"การเพิ่มขึ้น, สิ่งที่เพิ่ม"
99,authentic,adj.,ออเธนทิค,"เชื่อได้อย่างแน่นอน, แท้จริง"
100,author,n.,ออเธอะ,ผู้ประพันธ์
101,authority,n.,ออธอระที,"เจ้าหน้าที่, ผู้มีอำนาจ"
102,autograph,n.,ออทะกราฟ,ลายมือ
103,automatic,adj.,ออทะแมทิค,อัตโนมัติ
104,automatically,adv.,ออทะแมทิคลี,โดยอัตโนมัติ
105,available,adj.,อะเวละเบิล,"ว่าง, ใช้ประโยชน์, หาได้, มีอยู่"
106,avoid,v.,อะวอยดฺ,"หลบหลีก, หลีกเลี่ยง"
107,await,v.,อะเวท,"คอย, เผ้าคอย"
108,backward,adv.,แบคเวิร์ด,"ถอยหลัง, ย้อนหลัง, ไปทางหลัง"
109,ban,v.,แบน,ห้าม
110,bandstand,n.,แบนดฺสแตนดฺ,เวทีแสดงดนตรีที่ยกสูงขึ้นจากพื้น
111,bargain,n.,บาร์เกิน,"การติดต่อซื้อขาย, การต่อรองราคา"
112,basement,n.,เบสเมินทฺ,ห้องใต้ถุนตึก
113,basis,n.,เบซิส,พื้นฐาน
114,befit,v.,บิฟิท,เหมาะสมกับ
115,behave,v.,บิเฮฟ,"ประพฤติตน, กระทำตัว"
116,belief,n.,บิลีฟ,ความเชื่อ
117,benefit,n.,เบนิฟิท,ผลประโยชน์
118,bent,adj.,เบนทฺ,คดงอ
119,beyond,prep.,บิยอนดฺ,"ไกลออกไป, ถัดไป, นอกเหนือไปกว่านี้"
120,bizarre,adj.,บิซาร์,"ประหลาด, วิตถาร"
121,blind,adj.,ไบลนดฺ,"บอด, ตาบอด"
122,blink,v.,บลิงคฺ,"กระพริบตา, ขยิบตา"
123,bond,n.,บอนดฺ,"ความเกี่ยวพัน, ข้อผูกมัด"
124,botanical,adj.,โบแทนิเคิล,เกี่ยวกับพืช
125,brace,n.,เบรซ,"เสาค้ำ, รัด, มัด"
126,brainstorm,v.,เบรนสตอร์ม,ระดมความคิด
127,bravery,n.,เบรฟวะรี,"ความกล้าหาญ, การไม่กรงกลัว"
128,breakdown,n.,เบรกดาวนฺ,"ความล้มเหลว, การเลิกล้ม"
129,breakthrough,n.,เบรกธรู,การพัฒนาหรือการค้นพบที่ยิ่งใหญ
130,breathtaking,adj.,เบรธเทคคิง,"น่างงงวย, น่าใจหาย, น่าทึ่ง"
131,brightly,adv.,ไบรทฺลี,มีชีวิตชีวา
132,broadcast,v.,บรอดคาสทฺ,"กระจายข่าว, กระจายเสียง"
133,bulldozer,n.,บูลดอเซอะ,รถแทรกเตอร์เกลี่ยดิน
134,bulletin,n.,บูละทิน,"แถลงการณ์, รายงานข่าว"
135,bummer,n.,บัมเมอะ,"สิ่งที่ไม่น่ารื่นรมย์, สิ่งที่รำคาญใจ"
136,bump,v.,บัมพฺ,"กระทบ, ชน"
137,bundle,n.,บันเดิล,"มัด, ห่อ, พวง, กลุ่ม, กอง"
138,burial,n.,บูเริล,"พิธีฝังศพ, การฝังศพ"
139,butler,n.,บัทเลอะ,"หัวหน้าคนใช้, พ่อบ้าน"
140,cabinet,n.,แคบิเนิท,คณะรัฐมนตรี
141,call off,v.,คอล ออฟ,"ยกเลิก, เลื่อน"
142,call out,v.,คอล เอาทฺ,"ตะโกนเรียก, เรียกให้ช่วย"
143,call up,v.,คอล อัพ,"ปลุกให้ตื่น, ทำให้นึกถึง"
144,calling,n.,คอลลิง,"การเรียกร้อง, การเยี่ยมไปมาหาสู่"
145,campaign,n.,แคมเพน,"การรณรงค์, การหาเสียง"
146,candidate,n.,แคนดิเดท,ผู้สมัคร
147,capable,adj.,เคพพะเบิล,ที่สามารถทำได้
148,caption,n.,แคพเชิน,"คำบรรยายใต้ภาพ, หัวข้อ, ข้อความจ่าหน้าซอง"
149,carefully,adv.,แคร์ฟูลลี,อย่างระมัดระวัง
150,castaway,n.,คาสตะเว,คนที่เรืออับปาง
151,catapult,v.,แคททะพัลทฺ,"กระทุ้ง, ยิงกระสุน, ยิงขีปนาวุธ"
152,category,n.,แคททะกอรี,"การจัดลำดับ, ประเภท, ลำดับ"
153,cautious,adj.,คอเชิส,"รอบคอบ, ระมัดระวัง"
154,ceremony,n.,เซระโมนี,พิธี
155,certainly,adv.,เซอเทินลี,"ไม่ต้องสงสัย, แน่นอน"
156,challenge,n.,ชาลินจฺ,การท้าทาย
157,challenging,adj.,ชาลินจิง,"ซึ่งท้าทาย, ยั่วเย้า"
158,champion,n.,แชมพฺเพียน,ผู้ชนะเลิศ
159,championship,n.,แชมพฺเพียนชิพ,ตำแหน่งผู้ชนะเลิศ
160,chandelier,n.,แชนดะเลีย,โคมไฟระย้า
161,changeable,adj.,เชนจะเบิล,"เปลี่ยนแปลงได้, ไม่แน่นอน"
162,character,n.,แคแรคเทอะ,"อุปนิสัย, ลักษณะ, ตัวอักษร"
163,characteristic,n.,แคแรคเทอริสติค,"นิสัยประจำตัว, ลักษณะเฉพาะ"
164,charitable,adj.,แชริทะเบิล,"ใจบุญ, ใจกว้าง"
165,charity,n.,แชระที,"การกุศล, การทำทาน, ใจบุญ"
166,chemical,adj.,เคมมิเคิล,เกี่ยวกับสารเคมี
167,childhood,n.,ชายดฺฮูด,"ความเป็นเด็ก, เวลาเป็นเด็ก"
168,chronological,adj.,โครนะลอจิเคิล,ตามลำดับเหตุการณ์
169,circumstance,n.,เซอคัมสเตินซฺ,สภาวะแวดล้อม
170,claim,n.,เคลม,"เรียกร้อง, อ้างสิทธิ์"
171,clarification,n.,แคระฟิเคเชิน,"การทำให้สว่าง, การทำให้หมดสงสัย"
172,classify,v.,คลาสสิฟาย,"จำแนกแยกแยะ, จัดให้เป็นหมวดหมู"
173,cloak,n.,โคลค,เสื้อคลุมหลวมๆ
174,clockwise,adv.,คลอคไวซฺ,หมุนตามเข็มนาฬิกา
175,clove,n.,โคลฟ,"กลับกระเทียม, กานพลู"
176,clumsy,adj.,คลัมซี,ซึ่มซ่าม
177,cobbler,n.,คอบเบลอะ,ช่างซ่อมหรือทำรองเท้า
178,coincidence,n.,โคอินซิเดินทฺ,ที่เกิดขึ้นในเวลาเดียวกัน
179,colleague,n.,คอลลีค,เพื่อร่วมงาน
180,colony,n.,โคละนี,"กลุ่ม, ประชาชนในอาณาจักร"
181,combine,v.,คัมไบนฺ,รวมกัน
182,come out with,v.,คัม เอาทฺ วิธ,"ก่อให้เกิด, คิดค้น, ประดิษฐ, ประกาศ"
183,comedy film,n.,คอมมีดี ฟิล์ม,หนังตลก
184,comfortable,adj.,คัมฟฺทะเบิล,"สบาย, สุขกายสุขใจ"
185,command,n.,คะมานดฺ,คำสั่ง
186,commentator,n.,คอมเมินเมเมอะ,"ผู้วิจารณ์, ผู้อธิบาย"
187,commercial,adj.,คะเมอเชิล,เกี่ยวกับการค้า
188,committee,n.,คะมิทที,คณะกรรมการ
189,community,n.,คัมมิวนะที,ชุมชน
190,commute,v.,คัมมิวทฺ,เดินทางไปกลับ
191,comparison,n.,คัมแพริซเซิน,การเปรียบเทียบ
192,compete,v.,คัมพีท,แข่งขัน
193,competition,n.,คอมพิทีชเชิน,การแข่งขัน
194,competitive,adj.,คัมเพททะทีฟ,เกี่ยวกับการแข่งขัน
195,complain,v.,ตัมเพลน,"ร้องทุกข์, บ่น"
196,complete,adj.,คัมพลีท,"สมบูรณ์, ที่เสร็จสิ้น"
197,completely,adv.,คัมพลีทลี,อย่างสมบูรณ
198,complex,adj.,คอมเพลกซฺ,ที่สลับซับซ้อน
199,compliment,n.,คอมพลิเมินทฺ,คำสรรเสริญ
200,complimentary,adj.,คอมพลิเมนทรี,ซึ่งชมเชย
201,composer,n.,คัมโพเซอะ,ผู้แต่ง
202,composition,n.,คอมพะซิสเชิน,"องค์ประกอบ, การประพันธ์"
203,comprehension,n.,คอมพริเฮนเชิน,ความเข้าใจ
204,compromise,v.,คอมพระไมซฺ,"ประนีประนอม, ยอม"
205,concentrate,v.,คอนเซนเทรท,"ตั้งอกตั้งใจ, เพ่งเล่ง, จดจ่อ"
206,concern,n.,คันเซิร์น,"ความเป็นห่วง, ความเกี่ยวข้อง"
207,conditional,adj.,คันดิชเชินเนิล,ที่มีเงื่อนไข
208,condor,n.,คอนดอร์,นกจำพวกแร้ง
209,conductor,n.,คันดัคเทอะ,"นายวงดนตรี, ผู้คุมวงดนตรี"
210,conference,n.,คอนฟะเรินซฺ,"การสัมนา, การประชุม"
211,confess,v.,คันเฟส,"สารภาพผิด, ยอมรับผิด"
212,conquer,v.,คองเคอะ,"พิชิต, ปราบ, เอาชนะ"
213,conscious,adj.,คอนเชิส,"ซึ่งมีจิตสำนึก, มีสติ"
214,consent,v.,คันเซนทฺ,"อนุญาต, เห็นด้วย, ยอมรับ"
215,conservation,n.,คอนซะเวเชิน,การอนุรักษ์
216,consider,v.,คันซีเดอะ,"พิจารณา, คิด"
217,considerate,adj.,คันซิดดะเรท,"ที่เกรงใจ, เห็นอกเห็นใจ"
218,consist of,v.,คันซิสทฺ ออฟ,ประกอบด้วย
219,constancy,n.,คอนสเตินซี,"ความจงรักภักดี, ความแน่วแน่"
220,construction,n.,คันสตรัคเชิน,การก่อสร้าง
221,consumer,n.,คันซูมเมอะ,ผู้บริโภค
222,contact,n.,คอนแทคทฺ,"การพบปะ, การติดต่อ"
223,content,n.,คอนเทนทฺ,"เนื้อหา, สารบัญ, ปริมาณความจุ"
224,contestant,n.,คันเทสเทินทฺ,ผู้เข้าร่วมการแข่งขัน
225,context,n.,คอนเทกซฺ,บริบท
226,contraction,n.,คันแทรคเชิน,"การย่อให้สั้นลง, การติดต่อ"
227,contribute,v.,คันทริบิวทฺ,"ให้, บริจาค, ให้เพื่อช่วยเหลือ"
228,contribution,n.,คอนทริบิวเชิน,"การบริจาค, การช่วยเหลือ"
229,controversial,adj.,คอนทระเวอร์เชิล,ซึ่งก่อให้เกิดการโต้แย้ง
230,convenience,n.,คันวีเนียนทฺ,ความสะดวก
231,convenient,adj.,คันวีเนียนทฺ,สะดวก
232,conventional,adj.,คันเวนชะเนิล,ประเพณีนิยม
233,convertible,adj.,คันเวอทะเบิล,ที่สามารถเปลี่ยนแปลงได้
234,correspondence,n.,คอเรสปอนเดินซฺ,"ความสอดคล้อง, การติดต่อกันทางจดหมาย"
235,council,n.,เคานฺเซิล,"สภา, คณะผู้แทน"
236,counsel,v.,เคานฺเซิล,"การให้คำแนะนำ, ปรึกษา"
237,counselor,n.,เคานฺเซิลเลอะ,ผู้ให้คำปรึกษา
238,courage,n.,เคอริจ,ความกล้าหาญ
239,courtesy,n.,เคิร์ททะซี,"ความสุภาพ, มารยาท, อัธยาศัยดี"
240,crater,n.,เครเทอะ,ปากปล่องภูเขาไฟ
241,crawl,v.,ครอวลฺ,"คลาน, เลื้อย, แล่นคลาน"
242,craze,n.,เครซ,"ความหลงใหลคลั่งไคล, สิ่งที่คลั่งไคล้กัน"
243,create,v.,ครีเอท,สร้างสรรค
244,creature,n.,ครีเชอะ,"สิ่งมีชีวิต, สิ่งสร้างสรรค์"
245,credit,n.,เครดดิท,"ความเชื่อถือ, เงินเชื่อ"
246,crime,n.,ไครมฺ,อาชญากรรม
247,criminal,n.,คริมิเนิล,"ผู้ร้าย, อาชญากร"
248,critic,n.,คริทิค,นักวิจารณ์
249,criticism,n.,คริทิซิสเซิม,"บทวิจารณ์, การวิจารณ์"
250,criticize,v.,คริทิไซซฺ,วิพากษ์วิจารณ์
251,cross out,v.,ครอส เอาทฺ,ขีดออก
252,crucial,adj.,ครูเชิล,"เด็ดขาด, ซึ่งชี้ขาด, รุนแรง"
253,culinary,adj.,คะลินารี,"เกี่ยวกับการทำอาหาร, เกี่ยวกับครัว"
254,cultural,adj.,คัลเชอะเริล,เกี่ยวกับวัฒนธรรม
255,culture shock,n.,คัลเชอะ ชอค,การปรับตัวทางวัฒนธรรมไม่ได้
256,curator,n.,คิวเรเทอะ,หัวหน้าผู้ดูแลพิพิธภัณฑ์
257,cure,v.,คิวเออะ,รักษา
258,curious,adj.,คิวเรียส,อยากรู้อยากเห็น
259,current,adj.,เคอเรนทฺ,"ซึ่งเกิดขึ้นอยู่, ที่ใช้กันอยู่ในปัจจุบัน"
260,curricular,adj.,เคอริคคิวละ,หลักสูตร
261,custom,n.,คัสเติม,"ประเพณี, กิจวัตร"
262,cypress tree,n.,ไซเพรส ทรี,ต้นไม้จำพวกสน
263,database,n.,เดเทอะเบส,ฐานข้อมูล (ทางคอมพิวเตอร )
264,daybreak,n.,เดเบรก,ฟ้าสาง
265,deal with,v.,ดีล วิธ,"ค้าขายกับ, ซื้อขายกับ, ตกลงกับ"
266,dealer,n.,ดีลเลอะ,"ผู้ติดต่อ, พ่อค้า"
267,debate,v.,ดีเบท,โต้วาที
268,debt,n.,เดท,หนี้สิน
269,decade,n.,เดคเคท,"ทศวรรษ, สิบปี"
270,decisive,adj.,ดีไซซีฟ,"เด็ดเดี่ยว, เด็ดขาด"
271,declaration,n.,เดคละเรเชิน,คำประกาศ
272,declare,v.,ดีแคลร์,ประกาศ
273,decompose,v.,ดีคัมโพสทฺ,ทำให้เน่าเปื่อย
274,deduction,n.,ดีดัคเชิน,"การอนุมาน, การหักลบ"
275,defend,v.,ดีเฟนดฺ,ป้องกัน
276,defense,n.,ดีเฟนซฺ,"การคุ้มครอง, การป้องกัน"
277,define,v.,ดีไฟนฺ,"นิยาม, อธิบาย, กำหนด"
278,definite,adj.,เดฟฟิเนิท,แน่นอน
279,definitely,adv.,เดฟฟิเนิทลี,อย่างแน่นอน
280,definition,n.,เดฟฟินิชเชิน,"คำจำกัดความ, คำอธิบาย"
281,delicacy,n.,เดลลิคะซี,"ของประณีต, ความบอบบาง"
282,deliver,v.,ดิลิฟเวอะ,"ปล่อย, ส่ง, นำส่ง"
283,demand,n.,ดิมานดฺ,"ความต้องการ, อุปสงค์"
284,demanding,adj.,ดิมานดิง,ที่เรียกร้องมากเกินควร
285,demonstration,n.,เดมเมินสเตรเชิน,การสาธิต
286,depart,v.,ดิพาร์ท,ออกเดินทาง
287,departure,n.,ดิพาร์ทเชอะ,"การออกเดินทาง, การจากไป"
288,depend,v.,ดิเพนดฺ,"ขึ้นอยู่กับ, เชื่อถือ, พึ่ง"
289,depressed,adj.,ดิเพรสทฺ,"เศร้าหมอง, ซึมเศร้า, ตกต่ำ"
290,describe,v.,ดิสไครบฺ,"บรรยาย, อธิบาย"
291,description,n.,ดิสสคริพเชิน,คำอธิบาย
292,desperate,adj.,เดสพะเรท,ซึ่งสิ้นหวัง
293,desperation,n.,เดสพะเรเชิน,ความสิ้นหวัง
294,despite,prep.,ดิสไปทฺ,ถึงอย่างไรก็ตาม
295,destination,n.,เดสติเนเชิน,จุดหมายปลายทาง
296,determination,n.,ดิเทอมิเนเชิน,ความมุ่งมั่น
297,development,n.,ดิเวลเลิพเมินทฺ,การพัฒนา
298,devise,v.,ดิไวซฺ,"ประดิษฐ์, คิดค้นขึ้นใหม่"
299,devote,v.,ดิโวท,อุทิศ
300,diagonally,adv.,ไดแอคกะเนิลลี,"ตามขวาง, แนวทแยง"
301,differ,v.,ดิฟเฟอะ,แตกต่างจาก
302,dilemma,n.,ดิเลมมะ,"สภาวะลำบาก, สภาวะวิกฤติ"
303,dipper,n.,ดิพเพอะ,กระบวย
304,disable,v.,ดิสเอเบิล,ทำให้ไร้ความสามารถ
305,disadvantage,n.,ดิสอัดแวนทิจ,"ความเสียเปรียบ, ข้อเสีย"
306,discount,n.,ดิสเคานทฺ,"การลดราคา, การแลก, ส่วนลด"
307,discourage,v.,ดิสเคอริจ,ทำให้เสียกำลังใจ
308,discuss,v.,ดิสกัส,อภิปราย
309,disease,n.,ดิซีส,"โรค, การเจ็บไข้ได้ป่วย"
310,disrespect,n.,ดิสริสเปคทฺ,การขาดความเคารพนับถือ
311,disrespectful,adj.,ดิสริสเปคทฺฟูล,ขาดความเคารพ
312,dissolve,v.,ดิสซอลฟฺ,"ละลาย, ยุบ"
313,distance,n.,ดิสเตินซฺ,"ระยะทาง, ระยะห่าง, ความห่างไกล"
314,distraught,adj.,ดิสทรอท,ว้าวุ่นใจ
315,distribute,v.,ดิสทริบิวทฺ,แจกจาย
316,disturb,adj.,ดิสเทิร์บ,"กวน, รบกวน"
317,diversity,n.,ไดเวอร์ซะที,ความหลากหลาย
318,division,n.,ดิวิชเชิน,"การแบ่ง, การแบ่งแยก"
319,divorce,v.,ดิวอส,"หย่า, แยก"
320,document,n.,ดอค,"เอกสาร, พยานหลักฐาน"
321,documentary,n.,ดอคคิวเมนทรี,ภาพยนต์สารคดี
322,dominant,adj.,ดอมิเนินทฺ,"ซึ่งครอบงำ, มีอิทธิพลต่อ"
323,doubt,v.,เดาบทฺ,"ข้องใจ, แคลงใจ, ลังเล"
324,downhill,adv.,ดาวนฺฮิล,"ซึ่งตกไปสู่ด้านล่าง, ลงเขา, ตกต่ำ"
325,draft,n.,ดราฟทฺ,ฉบับร่าง
326,drag,v.,แดรก,"ลาก, การอัดควันบุหรี่เข้าปอด"
327,dramatics,adj.,ดระแมทิคซฺ,ศิลปการละคร
328,dramatist,n.,แดรมะทิสทฺ,"นักเขียนบทละคร, การแสดงละคร"
329,dune,n.,ดูน,เนินทราย
330,duration,n.,ดิวเรเชิน,"ระยะเวลา, ช่วงเวลา"
331,dwelling,n.,ดเวลลิง,ที่อยู่อาศัย
332,dye,v.,ดาย,"ย้อม, สีสำหรับย้อม"
333,dynamic,adj.,ไดแนมิค,"คล่องแคล่ว, มีพลัง"
334,ecological,adj.,อิคคะลอจิเคิล,เกี่ยวกับวิชานิเวศวิทยา
335,economic,adj.,อิคคะนอมิค,เกี่ยวกับเศรษฐกิจ
336,edition,n.,อิดิชเชิน,"ฉบับพิมพ์ครั้งที่, การพิมพ์"
337,editor,n.,เอดิทเทอะ,บรรณาธิการ
338,editorial,n.,เอดิทอเรียล,บทบรรณาธิการ
339,educational,adj.,เอดจุเคเชินนอล,เกี่ยวกับการศึกษา
340,effect,n.,อิเฟคทฺ,ผลกระทบ
341,effective,adj.,อิเฟคทิฟ,ได้ผลดี
342,efficient,adj.,อิฟิชเชินทฺ,"สมรรถภาพ, สามารถ"
343,effort,n.,เอฟเฟิร์ท,ความพยายาม
344,either,conj.,ไอเธอะ/อีธเธอะ,"ถ้าไม่...ก็..., ไม่อันไดก็อันหนึ่ง"
345,elaborate,adj.,อิแลบบะเรท,"บรรจงทำ, ประณีต, ต่อเติมให้ละเอียด"
346,elderly,adj.,เอลเดอะลี,สูงอายุ
347,elementary,adj.,เอลละเมนทะรี,"เบื้องต้น, พื้นฐาน, ระดับประถมศึกษา"
348,elevator,n.,เอลละเวเทอะ,ลิฟท์
349,eligible,adj.,เอลลิจะเบิล,มีคุณสมบัติเหมาะสม
350,eliminate,v.,อิลิมมะเนท,"ขจัด, กำจัดออก"
351,elite,n.,อิลิท,"กลุ่มคนชั้นพิเศษ, คนชั้นสูง"
352,embarrass,v.,เอมแบเริส,"ทำให้ขวยเขิน, ทำให้อาย"
353,embarrassed,adj.,เอมแบเริสทฺ,"อาย, ขวยเขิน"
354,emotion,n.,อิโมเชิน,อารมณ์
355,emotional,adj.,อิโมเชินเนิล,เกี่ยวกับอารมณ์
356,emotionally,adv.,อิโมเชินเนิลลี,"อย่างมีความรู้สึก, อย่างมีอารมณ์"
357,emperor,n.,เอมพะเรอะ,จักรพรรดิ
358,empire,n.,เอมไพเออะ,อาณาจักร
359,enable,v.,เอนเนเบิล,"สามารถ, ทำให้สามารถ"
360,encounter,v.,อินเคานฺเทอะ,"ต่อสู้, เผชิญหน้า"
361,encourage,v.,อินเคอริจ,"สนับสนุน, ช่วยเหลือ, กระตุ้น, ให้กำลังใจ"
362,endanger,v.,อินเดนเจอะ,"ทำให้ได้รับอันตราย, ทำให้เป็นภัย"
363,endurance,n.,เอนดิวเรินซฺ,"คงทน, ทนทาน, ยืนยง, อดทน"
364,energetic,adj.,เอนเนอเจททิค,"ว่องไว, กระตือรือร้น"
365,engine,n.,เอนจิน,เครื่องยนต์
366,enhance,v.,อินฮานซฺ,"ทำให้สูงขึ้น, เพิ่มพูน"
367,enormous,adj.,อินอเมิส,ที่ใหญ่มหึมา
368,ensemble,n.,เอนเซมเบิล,"ทั้งชุด, ทั้งหมดทั้งมวล"
